date,type,value
2025-01-05,Actual,7193544.07
2025-01-12,Actual,10712072.57
2025-01-19,Actual,8903677.35
2025-01-26,Actual,10628329.91
2025-02-02,Actual,6685509.62
2025-02-09,Actual,13657042.99
2025-02-16,Actual,3595593.33
2025-02-23,Actual,8778183.71
2025-03-02,Actual,12763386.47
2025-03-09,Actual,14283218.75
2025-03-16,Actual,12569568.16
2025-03-23,Actual,15204483.24
2025-03-30,Actual,14089650.46
2025-04-06,Actual,12291610.94
2025-04-13,Actual,10447253.58
2025-04-20,Actual,15868195.040000001
2025-04-27,Actual,16317327.54
2025-05-04,Actual,12590363.45
2025-05-11,Actual,13428104.280000001
2025-05-18,Actual,13458645.99
2025-05-25,Actual,17242513.87
2025-06-01,Actual,19445547.45
2025-06-08,Actual,12661723.280000001
2025-06-15,Actual,16145393.34
2025-06-22,Actual,16958423.29
2025-06-29,Actual,16982098.52
2025-07-06,Actual,11300169.85
2025-07-13,Actual,11299373.870000001
2025-07-20,Actual,17358032.98
2025-07-27,Actual,15528056.39
2025-08-03,Actual,16005963.5
2025-08-10,Actual,14891494.290000001
2025-08-17,Actual,13372432.06
2025-08-24,Actual,15631980.04
2025-08-31,Actual,17514376.68
2025-09-07,Actual,11982902.950000001
2025-09-14,Actual,11446512.45
2025-09-21,Actual,13783829.84
2025-09-28,Actual,12906269.209999999
2025-10-05,Actual,17243639.05
2025-10-12,Actual,16515341.06
2025-10-19,Actual,24968079.47
2025-10-26,Actual,14789794.52
2025-11-02,Actual,21327964.83
2025-11-09,Actual,12727759.26
2025-11-16,Actual,12501847.07
2025-11-23,Actual,18036663.66
2025-11-30,Actual,20658544.85
2025-12-07,Actual,16799286.900000002
2025-12-14,Actual,3829915.1500000004
2025-12-21,Forecast,14608461.478405109
2025-12-28,Forecast,15375410.774878832
2026-01-04,Forecast,14790428.008852554
2026-01-11,Forecast,15736535.68032628
